age,n,delta_BB_pct,se_delta_BB_pct,delta_K_pct,se_delta_K_pct,delta_HR_pct,se_delta_HR_pct,delta_ISO,se_delta_ISO,delta_wOBA,se_delta_wOBA,delta_OBP,se_delta_OBP,delta_SLG,se_delta_SLG,delta_BB_pct_smooth,delta_K_pct_smooth,delta_HR_pct_smooth,delta_ISO_smooth,delta_wOBA_smooth,delta_OBP_smooth,delta_SLG_smooth
18,1,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,,,,,,,,,,,,,,,
21,8,-0.001121024192415076,0.010527412841666216,-0.007031807987476186,0.007081900979731102,-0.001970239233350787,0.0044600935091622315,-0.0046778060221613115,0.017842002510128425,0.002988689507134567,0.009565965639918928,0.0054193273142966025,0.009127934948747795,0.0005955607766951876,0.01727301776925917,-0.0033188779488282755,-0.009796196188858373,0.00020140883395000208,0.003288030359609761,0.0055934723623455845,0.0041638677624325085,0.008573462795967851
22,9,-0.005516731705241475,0.007999694137652814,-0.012560584390240558,0.011445218925253126,0.002373056901250791,0.0050837848751642085,0.011253866741380833,0.018853970993459767,0.008198255217556603,0.011827572606722077,0.0029084082105684124,0.008523026182562269,0.016551364815240513,0.023917166725963404,-0.002830778201161829,-0.00572590933560707,0.0013027728330515008,0.006698082118798766,0.005218553583598567,0.002380310644263792,0.008841664171891592
23,10,-0.001854578705828935,0.004884976073464275,0.0024146643708955334,0.01007656644685523,0.0035055008312544983,0.0034434182953548605,0.013518185637176777,0.011563400115114152,0.004468716026104532,0.00828488689122902,-0.001186803592073639,0.007770957326982166,0.009378066923739077,0.014922056754274117,-0.0015562213519352698,-0.006584332995765343,0.004015740409790548,0.01059692791952036,0.00419229889863475,-0.00039484579736969876,0.008603282530660228
24,10,0.0027026463552646007,0.006799883324501175,-0.009607078967951002,0.0046547197730884594,0.006168663496866354,0.0031012690376245153,0.007018731380003469,0.012859108315379671,-9.007454775688452e-05,0.009323586164207856,-0.0029061420106038702,0.008172854798389332,-0.00011958414699890553,0.01771327186038762,-0.0005410569365073267,-0.005470809902534109,0.0020399837427784247,0.005143762115642997,-0.0016569287967702576,-0.004144559852043354,-0.0013870030868853554
25,7,-0.002471238458957646,0.0030364809803512115,-0.009220015110546858,0.013594015284335542,-0.0035542130997855783,0.0025668005359456196,-0.005105630670251253,0.009768406661655878,-0.00934942786865842,0.015030344896642601,-0.008340733953452554,0.014607099196581628,-0.013419492037396237,0.022250582809763653,0.00383698125292681,-0.004778660160714284,0.001257450519445859,-0.000170708827399142,-0.0019768103895472125,-0.0013993448189239001,-0.005611016608351356
26,9,0.011279535862473475,0.006297842592813183,0.004491113596355009,0.007494513883802209,0.001157901161256801,0.0029596551707363086,-0.0024252271919496422,0.011135251553534564,0.003509071247773667,0.009439686297540242,0.007048841507284724,0.009027905981995656,-0.0032939736406589247,0.01613236146445253,0.0018672764604060026,-0.0007106981117293229,-0.00022165841318708569,-0.0012010868503055043,2.870457537238492e-05,0.0005119607348510486,-0.002288820968314244
27,12,-0.0032064680222978212,0.004779038025837339,0.002596807179003881,0.00811463393436269,0.0017313366989675201,0.0022908760385277893,0.0039275973112843825,0.013102234946987503,0.005926470347001908,0.008691118616406753,0.0028277746507209757,0.008894868569500444,0.009847002773112432,0.015581570958518707,0.001974879356744078,0.0010470120693270406,-0.00032004986051221697,-0.006891674470094945,-0.004457133995982065,-0.0024166392225683287,-0.011554584232643134
28,16,-0.00214842976994342,0.006244249957120631,-0.0039468845673777675,0.005209634079276634,-0.003849387441760972,0.0017473494767365231,-0.022177393529619577,0.008843297249894976,-0.02280694358272177,0.0066213337294489215,-0.017126533825710687,0.006145459028149701,-0.04121678183038291,0.01202913130695646,-0.003972175568707294,0.0006681789916052537,-0.0003377318069289101,-0.004934239774983517,-0.004515908874596428,-0.004661270107329948,-0.007244231682720496
29,23,-0.006561628913880639,0.004295082030898978,0.0033546143631896486,0.004193546378159475,0.0011048553220067215,0.0033945228462791905,0.003447076893384642,0.013497907394796218,0.003332746611930578,0.008067176313658832,0.0003149488529998664,0.006063719055014058,0.009637084009108987,0.01728806312615917,-5.0607882238706825e-05,0.00022048455865836462,-0.002288387583526152,-0.014288364223664323,-0.012867921058392864,-0.009087308521846018,-0.024697268681053684
30,22,0.008558235037107939,0.005434582406400345,0.001253723880163214,0.005397055042118199,-0.0041206306308242055,0.004025434462612943,-0.02413477603475804,0.015408503481377284,-0.019129566204387403,0.00984281102985088,-0.010450340592827234,0.006763852810389502,-0.042512108221887134,0.02033655241258728,-0.000821063228438382,4.6212987349652027e-05,-0.0006866397097324055,-0.00705249173263078,-0.005846429620365005,-0.0043107411365689114,-0.011410695157906802
31,26,-0.004459795808542446,0.005684963701473023,-0.004469699281303905,0.007494700420742185,0.0009558561796202679,0.002477261993659795,-0.0004697760565189463,0.008880431915504847,-0.0017424692686381924,0.006373666345519789,-0.0027968316698793664,0.005842468474011863,-0.0013570612609422612,0.011462222488623148,0.003911248565319957,-0.0016258378513064901,-0.002157261221657734,-0.012031424956059614,-0.009931504629397703,-0.005367541677954067,-0.02169467715118113
