player_id,player_name,season,team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,HP,IB,SB,CS,AVG,OBP,SLG,OPS,WAR,oWAR,dWAR,wRC+,R_per_PA,BB_pct,K_pct,HR_pct,ISO,1B,wOBA,PA_next,BB_pct_next,K_pct_next,HR_pct_next,ISO_next,wOBA_next,OBP_next,SLG_next,wRC+_next,WAR_next,oWAR_next
10008,김선빈,2017,17 SS,137,529,476,84,176,34,1,5,64,39,40,5,4,4,4,0.37,0.42,0.477,0.897,5.49,5.41,0.07,136.0,0.181,0.07372400756143667,0.07561436672967864,0.00945179584120983,0.10699999999999998,136,0.3910207939508507,492,0.0975609756097561,0.08536585365853659,0.008130081300813009,0.07800000000000001,0.3325406504065041,0.374,0.373,93.9,1.75,2.46
10008,김선빈,2018,18 SS,127,492,424,73,125,17,2,4,49,48,42,9,1,4,1,0.295,0.374,0.373,0.747,1.75,2.46,-0.71,93.9,0.132,0.0975609756097561,0.08536585365853659,0.008130081300813009,0.07800000000000001,102,0.3325406504065041,447,0.09619686800894854,0.058165548098434,0.006711409395973154,0.07900000000000001,0.32378076062639827,0.36,0.371,104.5,2.85,2.92
10008,김선빈,2021,21 2B,130,564,501,55,154,32,0,5,67,56,39,1,2,0,0,0.307,0.375,0.401,0.776,3.04,3.51,-0.47,115.0,0.141,0.09929078014184398,0.06914893617021277,0.008865248226950355,0.09400000000000003,117,0.3450886524822695,587,0.11073253833049404,0.08006814310051108,0.005110732538330494,0.063,0.32468483816013627,0.373,0.35,109.9,3.22,3.47
10008,김선빈,2022,22 2B,140,587,505,51,145,23,0,3,61,65,47,6,0,13,2,0.287,0.373,0.35,0.723,3.22,3.47,-0.25,109.9,0.127,0.11073253833049404,0.08006814310051108,0.005110732538330494,0.063,119,0.32468483816013627,473,0.080338266384778,0.05496828752642706,0.0,0.03799999999999998,0.3280338266384778,0.381,0.358,114.9,2.71,2.92
10008,김선빈,2023,23 2B,119,473,419,41,134,16,0,0,48,38,26,5,0,3,1,0.32,0.381,0.358,0.739,2.71,2.92,-0.21,114.9,0.132,0.080338266384778,0.05496828752642706,0.0,0.03799999999999998,118,0.3280338266384778,466,0.06437768240343347,0.08369098712446352,0.019313304721030045,0.118,0.3597424892703863,0.38,0.447,117.4,2.46,3.06
10014,안치홍,2017,17 2B,132,545,487,95,154,29,2,21,93,43,70,4,1,7,0,0.316,0.373,0.513,0.886,4.27,4.63,-0.36,125.9,0.167,0.07889908256880734,0.12844036697247707,0.03853211009174312,0.197,102,0.38073394495412843,549,0.06557377049180328,0.10382513661202186,0.04189435336976321,0.22099999999999992,0.4106557377049181,0.392,0.563,135.9,4.82,5.01
10014,안치홍,2020,20 2B,124,460,412,49,118,28,0,8,54,35,47,7,2,14,3,0.286,0.351,0.413,0.764,1.53,2.09,-0.55,98.2,0.134,0.07608695652173914,0.10217391304347827,0.017391304347826087,0.127,82,0.3359347826086957,490,0.10612244897959183,0.11836734693877551,0.02040816326530612,0.15200000000000002,0.3628775510204082,0.379,0.458,122.3,3.01,3.62
10014,안치홍,2021,21 2B,119,490,421,58,129,30,2,10,82,52,58,3,2,3,6,0.306,0.379,0.458,0.837,3.01,3.62,-0.61,122.3,0.156,0.10612244897959183,0.11836734693877551,0.02040816326530612,0.15200000000000002,87,0.3628775510204082,562,0.09074733096085409,0.09252669039145907,0.02491103202846975,0.15200000000000002,0.3430249110320285,0.354,0.436,117.9,3.18,3.78
10014,안치홍,2022,22 2B,132,562,493,71,140,27,3,14,58,51,52,5,4,7,2,0.284,0.354,0.436,0.79,3.18,3.78,-0.6,117.9,0.141,0.09074733096085409,0.09252669039145907,0.02491103202846975,0.15200000000000002,96,0.3430249110320285,494,0.09919028340080972,0.10728744939271255,0.016194331983805668,0.10800000000000004,0.3428744939271255,0.374,0.4,117.5,2.38,2.84
10014,안치홍,2023,23 2B,121,494,425,57,124,20,1,8,63,49,53,10,3,3,3,0.292,0.374,0.4,0.774,2.38,2.84,-0.46,117.5,0.142,0.09919028340080972,0.10728744939271255,0.016194331983805668,0.10800000000000004,95,0.3428744939271255,533,0.09193245778611632,0.13133208255159476,0.024390243902439025,0.127,0.35313320825515954,0.37,0.427,107.9,1.38,1.69
