player_name_en,Team,IP,ERA,FIP,WHIP,W,L,SO,BB,WAR_actual
Oller,26 P,99.1,2.36,3.45,0.98,9,5,108,32,3.89
Choi Min-seok,26 P,92.2,2.33,3.43,1.17,9,2,86,36,3.35
Hurado,26 P,101.0,3.12,4.13,1.25,4,1,65,19,3.23
nail,26 P,99.1,3.44,3.50,1.09,5,4,80,18,3.16
Kwak Bin,26 P,90.0,2.70,2.87,1.24,7,3,105,28,3.06
Ryu Hyun-jin,26 P,87.2,2.67,3.00,1.06,8,2,70,11,3.04
Alcantara,26 P,103.0,3.32,3.85,1.11,7,6,96,13,2.88
Koo Chang-mo,26 P,86.1,3.44,3.98,1.16,8,2,75,22,2.76
Kim Jin-wook,26 P,88.2,2.84,4.19,1.20,5,3,74,26,2.73
Im Chan-gyu,26 P,90.1,3.79,4.56,1.41,8,2,46,27,2.30
Sauer,26 P,92.1,4.39,4.83,1.36,6,4,66,39,2.29
Na Gyun-an,26 P,86.2,3.95,4.56,1.40,4,7,73,26,2.24
Ko Young-pyo,26 P,91.1,4.43,3.32,1.27,6,6,95,12,2.11
Tollhurst,26 P,87.1,4.02,4.10,1.23,8,6,71,22,1.97
Beasley,26 P,84.1,4.48,3.36,1.43,5,4,97,28,1.87
Wang Yancheng,26 P,85.1,3.59,4.39,1.49,7,3,71,38,1.82
Jacklog,26 P,87.1,4.12,3.91,1.34,3,5,71,15,1.81
Taylor,26 P,80.1,4.48,4.33,1.37,5,4,57,34,1.64
Park Se-woong,26 P,90.1,4.58,3.91,1.45,2,6,86,33,1.52
