player_id,player_name,season,team,G,GS,IP,TBF,W,L,S,HD,H,HR,BB,SO,ERA,WHIP,WAR,FIP,RA9,rRA9,rRA9pf,K_pct,BB_pct,HR_per9,K_minus_BB
10058,양현종,2016,16 P,31,31,200.1,850,10,12,0,0,191,19,77,146,3.68,1.34,5.45,4.77,4.31,4.27,4.31,0.17176470588235293,0.09058823529411765,0.8545727136431784,0.08117647058823528
10058,양현종,2017,17 P,31,31,193.1,808,20,6,0,0,209,17,45,158,3.44,1.31,5.45,3.93,4.1,3.97,4.07,0.19554455445544555,0.055693069306930694,0.7923355774210254,0.13985148514851486
10058,양현종,2018,18 P,29,29,184.1,772,13,11,0,0,199,21,43,152,4.15,1.31,5.14,4.4,4.3,4.22,4.22,0.19689119170984457,0.05569948186528497,1.0266159695817492,0.1411917098445596
10058,양현종,2019,19 P,29,29,184.2,731,16,8,0,0,165,6,33,163,2.29,1.07,6.75,2.58,2.73,2.68,2.64,0.22298221614227087,0.04514363885088919,0.2931596091205212,0.1778385772913817
10058,양현종,2020,20 P,31,31,172.1,746,11,10,0,0,180,13,64,149,4.7,1.42,3.35,3.97,5.17,4.85,4.74,0.19973190348525469,0.08579088471849866,0.6798373038930854,0.11394101876675602
10058,양현종,2022,22 P,30,30,175.1,743,12,7,0,0,170,14,50,141,3.85,1.25,2.93,3.66,4.41,4.37,4.44,0.18977119784656796,0.06729475100942127,0.7195888063963449,0.12247644683714669
10058,양현종,2023,23 P,29,29,171.0,729,9,11,0,0,181,13,48,133,3.58,1.34,3.59,3.7,4.11,4.02,4.13,0.18244170096021947,0.06584362139917696,0.6842105263157895,0.11659807956104251
10058,양현종,2024,24 P,29,29,171.1,727,11,5,0,0,174,21,41,129,4.1,1.25,4.34,4.69,4.52,4.37,4.39,0.17744154057771663,0.05639614855570839,1.1046171829339568,0.12104539202200824
10058,양현종,2025,25 P,30,30,153.0,677,7,9,0,0,171,12,57,109,5.06,1.49,0.86,4.35,5.94,5.66,5.83,0.16100443131462333,0.08419497784342689,0.7058823529411765,0.07680945347119644
10126,김광현,2019,19 P,31,30,190.1,786,17,6,0,0,198,13,38,180,2.51,1.24,6.32,2.91,3.03,2.95,2.91,0.22900763358778625,0.04834605597964377,0.6154655444502893,0.1806615776081425
10126,김광현,2022,22 P,28,28,173.1,694,13,3,0,0,141,10,45,153,2.13,1.07,6.63,3.14,2.49,2.49,2.44,0.22046109510086456,0.06484149855907781,0.5199306759098787,0.15561959654178675
10126,김광현,2023,23 P,30,30,168.1,713,9,8,0,0,163,11,70,119,3.53,1.38,3.63,4.19,4.01,3.89,3.89,0.16690042075736325,0.09817671809256662,0.5889351576442594,0.06872370266479663
10126,김광현,2024,24 P,31,31,162.1,709,12,10,0,0,162,24,73,154,4.93,1.45,2.97,5.18,5.27,5.25,5.04,0.21720733427362482,0.10296191819464035,1.3325107958050586,0.11424541607898447
10126,김광현,2025,25 P,28,28,144.0,636,10,10,0,0,164,13,50,138,5.0,1.49,1.62,3.77,5.38,5.21,5.13,0.2169811320754717,0.07861635220125786,0.8125,0.13836477987421386
10131,박종훈,2017,17 P,29,28,151.1,664,12,7,0,1,145,16,61,107,4.1,1.36,3.72,5.44,4.4,4.25,4.23,0.16114457831325302,0.09186746987951808,0.9530112508272668,0.06927710843373494
10131,박종훈,2018,18 P,30,30,159.1,702,14,8,0,0,158,16,54,133,4.18,1.33,4.27,4.89,4.58,4.41,4.26,0.18945868945868946,0.07692307692307693,0.9050911376492772,0.11253561253561253
10131,박종훈,2019,19 P,28,28,144.0,643,8,11,0,0,157,12,59,100,3.88,1.5,2.85,4.62,4.5,4.25,4.08,0.15552099533437014,0.09175738724727839,0.75,0.06376360808709175
10131,박종훈,2020,20 P,29,28,157.1,691,13,11,0,0,146,14,78,134,4.81,1.42,2.77,4.9,5.15,4.92,4.79,0.1939218523878437,0.11287988422575977,0.8020369191597708,0.08104196816208394
10213,유희관,2016,16 P,30,29,185.2,809,15,6,0,0,212,22,58,102,4.41,1.45,4.54,5.35,4.61,4.52,4.62,0.1260815822002472,0.07169344870210136,1.0691144708423326,0.05438813349814585
10213,유희관,2017,17 P,30,29,188.2,822,11,6,0,1,228,20,41,106,4.53,1.43,3.31,4.9,4.96,4.76,5.1,0.12895377128953772,0.049878345498783457,0.9564293304994687,0.07907542579075427
10213,유희관,2019,19 P,28,27,166.1,692,11,8,0,0,171,8,42,64,3.25,1.28,3.94,4.26,3.63,3.5,3.75,0.09248554913294797,0.06069364161849711,0.4334738109572547,0.031791907514450865
10217,이용찬,2018,18 P,25,24,144.0,608,15,3,0,0,151,14,36,102,3.63,1.3,4.69,4.68,3.88,3.79,3.88,0.16776315789473684,0.05921052631578947,0.875,0.10855263157894737
10217,이용찬,2019,19 P,26,26,148.1,651,7,10,0,0,168,15,45,102,4.07,1.44,2.31,4.34,4.55,4.3,4.56,0.15668202764976957,0.06912442396313365,0.911546252532073,0.08755760368663593
10220,이재학,2018,18 P,29,29,152.1,658,5,13,0,0,157,13,49,116,4.79,1.35,3.26,4.64,5.14,4.79,4.78,0.1762917933130699,0.07446808510638298,0.7692307692307693,0.10182370820668693
10299,장원준,2016,16 P,27,27,168.0,727,15,6,0,0,161,14,76,137,3.32,1.41,5.41,4.76,3.54,3.54,3.83,0.18844566712517194,0.10453920220082531,0.75,0.08390646492434663
10299,장원준,2017,17 P,29,29,180.1,760,14,9,0,0,172,12,51,125,3.14,1.24,5.65,4.38,3.49,3.45,3.71,0.16447368421052633,0.06710526315789474,0.5996668517490283,0.09736842105263159
10363,백정현,2019,19 P,28,27,157.0,677,8,10,0,0,158,17,56,82,4.24,1.36,2.44,5.02,4.87,4.67,4.42,0.12112259970457903,0.0827178729689808,0.9745222929936306,0.038404726735598235
10363,백정현,2021,21 P,27,27,157.2,648,14,5,0,0,142,15,54,109,2.63,1.24,5.54,4.23,3.08,3.04,2.98,0.16820987654320987,0.08333333333333333,0.8587786259541985,0.08487654320987655
10368,윤성환,2016,16 P,28,28,180.0,767,11,10,0,0,202,25,41,85,4.35,1.35,4.48,5.64,4.75,4.72,4.55,0.11082138200782268,0.05345501955671447,1.25,0.05736636245110821
10368,윤성환,2017,17 P,28,28,174.1,731,12,9,0,0,181,22,37,130,4.28,1.25,4.8,4.77,4.44,4.34,4.05,0.17783857729138167,0.0506155950752394,1.1372774267662265,0.12722298221614226
10368,윤성환,2019,19 P,27,27,145.1,643,8,13,0,0,168,14,50,65,4.77,1.5,1.7,5.05,5.39,5.06,4.8,0.10108864696734059,0.07776049766718507,0.8683666436940042,0.023328149300155518
10381,차우찬,2016,16 P,24,24,152.1,671,12,6,0,0,168,16,65,120,4.73,1.53,3.26,5.01,5.14,5.05,4.93,0.17883755588673622,0.09687034277198212,0.9467455621301776,0.0819672131147541
10381,차우찬,2017,17 P,28,28,175.2,732,10,7,0,0,171,20,38,157,3.43,1.19,5.1,4.12,3.84,3.81,3.96,0.21448087431693988,0.05191256830601093,1.0273972602739727,0.16256830601092895
10381,차우찬,2018,18 P,29,29,170.0,762,12,10,0,0,177,27,79,136,6.09,1.51,1.14,5.84,6.3,6.24,6.68,0.1784776902887139,0.1036745406824147,1.4294117647058824,0.0748031496062992
10381,차우찬,2019,19 P,29,28,168.1,730,13,8,0,0,181,16,59,124,4.12,1.43,1.95,4.28,4.65,4.59,4.89,0.16986301369863013,0.08082191780821918,0.8566329565734682,0.08904109589041095
10425,금민철,2018,18 P,29,29,156.1,720,8,12,0,0,212,19,68,79,5.41,1.79,2.06,6.0,5.99,5.79,5.73,0.10972222222222222,0.09444444444444444,1.0954516335682256,0.015277777777777779
10590,류현진,2024,24 P,28,28,158.1,679,10,8,0,0,182,12,33,135,3.87,1.36,3.84,3.73,4.43,4.37,4.42,0.19882179675994108,0.048600883652430045,0.683111954459203,0.15022091310751104
10641,니퍼트,2016,16 P,28,27,167.2,701,22,3,0,0,151,15,57,142,2.95,1.24,6.29,4.41,3.27,3.26,3.31,0.20256776034236804,0.08131241084165478,0.8074162679425838,0.12125534950071326
10641,니퍼트,2017,17 P,30,30,179.2,782,14,8,0,0,175,20,77,161,4.06,1.4,4.07,4.79,4.41,4.32,4.57,0.20588235294117646,0.09846547314578005,1.0044642857142858,0.10741687979539641
10641,니퍼트,2018,18 P,29,28,175.2,765,8,8,0,0,209,26,39,165,4.25,1.41,4.62,4.59,4.51,4.45,4.33,0.21568627450980393,0.050980392156862744,1.3356164383561644,0.1647058823529412
10652,임찬규,2018,18 P,29,27,146.2,680,11,11,1,0,195,23,47,125,5.77,1.65,1.1,5.33,6.38,6.17,6.51,0.18382352941176472,0.06911764705882353,1.4158686730506158,0.11470588235294119
